channel_id,channel_name,sum_data/dpi/sum,sum_data/dpi/proportion,sum_data/fans/sum,sum_data/fans/proportion,sum_data/contents/sum,sum_data/contents/proportion,sum_data/impressions/sum,sum_data/impressions/proportion,sum_data/reach/sum,sum_data/reach/proportion,sum_data/engagement/sum,sum_data/engagement/proportion,detail_data/dpi/month/date,detail_data/dpi/month/value,detail_data/dpi/daily/date,detail_data/dpi/daily/value,detail_data/fans/month/date,detail_data/fans/month/value,detail_data/fans/daily/date,detail_data/fans/daily/value,detail_data/contents/month/date,detail_data/contents/month/value,detail_data/contents/daily/date,detail_data/contents/daily/value,detail_data/impressions/month/date,detail_data/impressions/month/value,detail_data/impressions/daily/date,detail_data/impressions/daily/value,detail_data/reach/month/date,detail_data/reach/month/value,detail_data/reach/daily/date,detail_data/reach/daily/value,detail_data/engagement/month/date,detail_data/engagement/month/value,detail_data/engagement/daily/date,detail_data/engagement/daily/value
,,,,,,,,,,,,,,,,2020/09/18,6808,,,2020/09/18,5098,,,2020/09/18,909,,,2020/09/18,2059,,,2020/09/18,3908,,,2020/09/18,9449
,,,,,,,,,,,,,,,,2020/09/19,4835,,,2020/09/19,6350,,,2020/09/19,5080,,,2020/09/19,8021,,,2020/09/19,5167,,,2020/09/19,8581
,,,,,,,,,,,,,,,,2020/09/20,7009,,,2020/09/20,5709,,,2020/09/20,4676,,,2020/09/20,8676,,,2020/09/20,1717,,,2020/09/20,3819
,,,,,,,,,,,,,,,,2020/09/21,7895,,,2020/09/21,6759,,,2020/09/21,6246,,,2020/09/21,4572,,,2020/09/21,8939,,,2020/09/21,6313
,,,,,,,,,,,,,,,,2020/09/22,6562,,,2020/09/22,7607,,,2020/09/22,8339,,,2020/09/22,380,,,2020/09/22,1803,,,2020/09/22,625
,,,,,,,,,,,,,,,,2020/09/23,2955,,,2020/09/23,3986,,,2020/09/23,1093,,,2020/09/23,5395,,,2020/09/23,5376,,,2020/09/23,8938
,,,,,,,,,,,,,,,,2020/09/24,5116,,,2020/09/24,7577,,,2020/09/24,4046,,,2020/09/24,6514,,,2020/09/24,4997,,,2020/09/24,3954
,,,,,,,,,,,,,,,,2020/09/25,7496,,,2020/09/25,8446,,,2020/09/25,2237,,,2020/09/25,6017,,,2020/09/25,4275,,,2020/09/25,2920
,,,,,,,,,,,,,,,,2020/09/26,1272,,,2020/09/26,2387,,,2020/09/26,3796,,,2020/09/26,1764,,,2020/09/26,597,,,2020/09/26,3312
,,,,,,,,,,,,,,,,2020/09/27,5840,,,2020/09/27,4850,,,2020/09/27,5723,,,2020/09/27,6684,,,2020/09/27,400,,,2020/09/27,2890
,,,,,,,,,,,,,,,,2020/09/28,7488,,,2020/09/28,2686,,,2020/09/28,3183,,,2020/09/28,9704,,,2020/09/28,1706,,,2020/09/28,447
,,,,,,,,,,,,,,,,2020/09/29,9928,,,2020/09/29,9686,,,2020/09/29,695,,,2020/09/29,3842,,,2020/09/29,8941,,,2020/09/29,9216
,,,,,,,,,,,,,,,,2020/09/30,9899,,,2020/09/30,9523,,,2020/09/30,1642,,,2020/09/30,6293,,,2020/09/30,1553,,,2020/09/30,3885
,,,,,,,,,,,,,,,,2020/10/01,6774,,,2020/10/01,7088,,,2020/10/01,1851,,,2020/10/01,4409,,,2020/10/01,3687,,,2020/10/01,4707
,,,,,,,,,,,,,,,,2020/10/02,6258,,,2020/10/02,5115,,,2020/10/02,6276,,,2020/10/02,980,,,2020/10/02,1034,,,2020/10/02,7557
,,,,,,,,,,,,,,,,2020/10/03,6819,,,2020/10/03,3854,,,2020/10/03,7158,,,2020/10/03,9850,,,2020/10/03,9951,,,2020/10/03,8952
,,,,,,,,,,,,,,,,2020/10/04,935,,,2020/10/04,1996,,,2020/10/04,6555,,,2020/10/04,7273,,,2020/10/04,5156,,,2020/10/04,4833
,,,,,,,,,,,,,,,,2020/10/05,7782,,,2020/10/05,2615,,,2020/10/05,3274,,,2020/10/05,973,,,2020/10/05,2849,,,2020/10/05,5105
,,,,,,,,,,,,,,,,2020/10/06,46,,,2020/10/06,3278,,,2020/10/06,3841,,,2020/10/06,8868,,,2020/10/06,1433,,,2020/10/06,6114
,,,,,,,,,,,,,,,,2020/10/07,1892,,,2020/10/07,2268,,,2020/10/07,3366,,,2020/10/07,835,,,2020/10/07,9389,,,2020/10/07,2002
,,,,,,,,,,,,,,,,2020/10/08,4533,,,2020/10/08,3051,,,2020/10/08,5728,,,2020/10/08,8591,,,2020/10/08,5057,,,2020/10/08,7258
,,,,,,,,,,,,,,,,2020/10/09,432,,,2020/10/09,6522,,,2020/10/09,6691,,,2020/10/09,1585,,,2020/10/09,2960,,,2020/10/09,5508
,,,,,,,,,,,,,,,,2020/10/10,7521,,,2020/10/10,138,,,2020/10/10,8782,,,2020/10/10,7568,,,2020/10/10,3616,,,2020/10/10,6500
,,,,,,,,,,,,,,,,2020/10/11,8186,,,2020/10/11,6784,,,2020/10/11,1588,,,2020/10/11,468,,,2020/10/11,6029,,,2020/10/11,8691
,,,,,,,,,,,,,,,,2020/10/12,5526,,,2020/10/12,2299,,,2020/10/12,9595,,,2020/10/12,356,,,2020/10/12,1696,,,2020/10/12,1169
,,,,,,,,,,,,,,,,2020/10/13,5101,,,2020/10/13,2862,,,2020/10/13,3510,,,2020/10/13,8733,,,2020/10/13,6816,,,2020/10/13,692
,,,,,,,,,,,,,,,,2020/10/14,8588,,,2020/10/14,847,,,2020/10/14,1664,,,2020/10/14,4887,,,2020/10/14,7461,,,2020/10/14,2462
,,,,,,,,,,,,,,,,2020/10/15,7571,,,2020/10/15,5812,,,2020/10/15,1501,,,2020/10/15,7073,,,2020/10/15,1970,,,2020/10/15,1199
,,,,,,,,,,,,,,,,2020/10/16,6701,,,2020/10/16,391,,,2020/10/16,3911,,,2020/10/16,9123,,,2020/10/16,7964,,,2020/10/16,9428
,,,,,,,,,,,,,,,,2020/10/17,3879,,,2020/10/17,7601,,,2020/10/17,8929,,,2020/10/17,7687,,,2020/10/17,4667,,,2020/10/17,6871
,,,,,,,,,,,,,,,,2020/10/18,7922,,,2020/10/18,2367,,,2020/10/18,401,,,2020/10/18,3175,,,2020/10/18,8376,,,2020/10/18,6195
,,,,,,,,,,,,,,,,2020/10/19,9341,,,2020/10/19,8653,,,2020/10/19,8882,,,2020/10/19,6392,,,2020/10/19,5301,,,2020/10/19,5340
,,,,,,,,,,,,,,,,2020/10/20,3426,,,2020/10/20,2857,,,2020/10/20,1257,,,2020/10/20,3840,,,2020/10/20,6392,,,2020/10/20,5865
,,,,,,,,,,,,,,,,2020/10/21,218,,,2020/10/21,758,,,2020/10/21,7507,,,2020/10/21,5466,,,2020/10/21,5784,,,2020/10/21,5826
,,,,,,,,,,,,,,,,2020/10/22,4277,,,2020/10/22,8652,,,2020/10/22,263,,,2020/10/22,9922,,,2020/10/22,2563,,,2020/10/22,294
,,,,,,,,,,,,,,,,2020/10/23,7191,,,2020/10/23,7102,,,2020/10/23,9471,,,2020/10/23,3164,,,2020/10/23,8649,,,2020/10/23,7623
,,,,,,,,,,,,,,,,2020/10/24,4786,,,2020/10/24,1282,,,2020/10/24,2693,,,2020/10/24,2485,,,2020/10/24,3723,,,2020/10/24,986
,,,,,,,,,,,,,,,,2020/10/25,3349,,,2020/10/25,1643,,,2020/10/25,1382,,,2020/10/25,1237,,,2020/10/25,6297,,,2020/10/25,5531
,,,,,,,,,,,,,,,,2020/10/26,5132,,,2020/10/26,8281,,,2020/10/26,272,,,2020/10/26,3198,,,2020/10/26,1483,,,2020/10/26,6364
,,,,,,,,,,,,,,,,2020/10/27,7180,,,2020/10/27,5707,,,2020/10/27,4833,,,2020/10/27,5869,,,2020/10/27,3901,,,2020/10/27,7934
,,,,,,,,,,,,,,,,2020/10/28,8990,,,2020/10/28,2367,,,2020/10/28,4663,,,2020/10/28,7177,,,2020/10/28,2892,,,2020/10/28,4950
,,,,,,,,,,,,,,,,2020/10/29,5651,,,2020/10/29,5629,,,2020/10/29,7851,,,2020/10/29,7920,,,2020/10/29,8486,,,2020/10/29,9943
,,,,,,,,,,,,,,,,2020/10/30,4171,,,2020/10/30,580,,,2020/10/30,7712,,,2020/10/30,9755,,,2020/10/30,7009,,,2020/10/30,6947
,,,,,,,,,,,,,,,,2020/10/31,3783,,,2020/10/31,7875,,,2020/10/31,8593,,,2020/10/31,3581,,,2020/10/31,9203,,,2020/10/31,9406
fyei58234,_____,965433,0.357712585,61725,0.033413793,1007839,0.31980381,75771,0.034274106,958148,0.310437916,742068,0.279153858,2019/10,26358,2020/08/01,6569,2019/10,69681,2020/08/01,9075,2019/10,49558,2020/08/01,2937,2019/10,20520,2020/08/01,4191,2019/10,230,2020/08/01,5810,2019/10,1479,2020/08/01,5641
,,,,,,,,,,,,,,2019/11,27020,2020/08/02,2169,2019/11,1939,2020/08/02,882,2019/11,81385,2020/08/02,774,2019/11,29362,2020/08/02,3550,2019/11,58202,2020/08/02,7616,2019/11,30539,2020/08/02,2686
,,,,,,,,,,,,,,2019/12,80762,2020/08/03,5409,2019/12,28030,2020/08/03,4526,2019/12,76844,2020/08/03,4241,2019/12,31306,2020/08/03,2610,2019/12,25629,2020/08/03,6719,2019/12,40856,2020/08/03,1819
,,,,,,,,,,,,,,2020/01,68146,2020/08/04,2535,2020/01,95877,2020/08/04,9213,2020/01,3697,2020/08/04,7021,2020/01,86292,2020/08/04,8126,2020/01,256,2020/08/04,5148,2020/01,24323,2020/08/04,5344
,,,,,,,,,,,,,,2020/02,58036,2020/08/05,4447,2020/02,51763,2020/08/05,6486,2020/02,29930,2020/08/05,9483,2020/02,29358,2020/08/05,9270,2020/02,60887,2020/08/05,3829,2020/02,18402,2020/08/05,2129
,,,,,,,,,,,,,,2020/03,94064,2020/08/06,6280,2020/03,50011,2020/08/06,8755,2020/03,82781,2020/08/06,3908,2020/03,61770,2020/08/06,3938,2020/03,66547,2020/08/06,7844,2020/03,92575,2020/08/06,4724
,,,,,,,,,,,,,,2020/04,97413,2020/08/07,3071,2020/04,91483,2020/08/07,6496,2020/04,57686,2020/08/07,9630,2020/04,68930,2020/08/07,6884,2020/04,91369,2020/08/07,6883,2020/04,27404,2020/08/07,2875
,,,,,,,,,,,,,,2020/05,56852,2020/08/08,7686,2020/05,88035,2020/08/08,6951,2020/05,42592,2020/08/08,591,2020/05,17754,2020/08/08,5386,2020/05,50271,2020/08/08,4071,2020/05,16008,2020/08/08,229
,,,,,,,,,,,,,,2020/06,32782,2020/08/09,2316,2020/06,41653,2020/08/09,5857,2020/06,58981,2020/08/09,6358,2020/06,91611,2020/08/09,7024,2020/06,81459,2020/08/09,5317,2020/06,3926,2020/08/09,7584
,,,,,,,,,,,,,,2020/07,6593,2020/08/10,7501,2020/07,37705,2020/08/10,1374,2020/07,29183,2020/08/10,7576,2020/07,28768,2020/08/10,6144,2020/07,37408,2020/08/10,6097,2020/07,8636,2020/08/10,3554
,,,,,,,,,,,,,,2020/08,143390,2020/08/11,174,2020/08,169815,2020/08/11,5680,2020/08,148046,2020/08/11,1049,2020/08,153694,2020/08/11,4087,2020/08,179379,2020/08/11,6479,2020/08,129262,2020/08/11,2576
,,,,,,,,,,,,,,2020/09,142272,2020/08/12,4972,2020/09,131865,2020/08/12,4629,2020/09,145674,2020/08/12,7583,2020/09,154714,2020/08/12,3595,2020/09,121534,2020/08/12,1466,2020/09,172833,2020/08/12,6290
,,,,,,,,,,,,,,2020/10,131745,2020/08/13,8596,2020/10,149982,2020/08/13,5847,2020/10,151791,2020/08/13,1215,2020/10,155666,2020/08/13,1295,2020/10,184490,2020/08/13,3482,2020/10,175825,2020/08/13,2668
,,,,,,,,,,,,,,,,2020/08/14,4599,,,2020/08/14,9410,,,2020/08/14,6340,,,2020/08/14,7437,,,2020/08/14,2731,,,2020/08/14,1729
,,,,,,,,,,,,,,,,2020/08/15,7132,,,2020/08/15,6046,,,2020/08/15,3380,,,2020/08/15,6988,,,2020/08/15,6512,,,2020/08/15,1373
,,,,,,,,,,,,,,,,2020/08/16,2692,,,2020/08/16,5732,,,2020/08/16,9477,,,2020/08/16,335,,,2020/08/16,7852,,,2020/08/16,5526
,,,,,,,,,,,,,,,,2020/08/17,2043,,,2020/08/17,3191,,,2020/08/17,1839,,,2020/08/17,4374,,,2020/08/17,2021,,,2020/08/17,337
,,,,,,,,,,,,,,,,2020/08/18,9615,,,2020/08/18,5224,,,2020/08/18,2341,,,2020/08/18,7053,,,2020/08/18,7092,,,2020/08/18,1287
,,,,,,,,,,,,,,,,2020/08/19,7760,,,2020/08/19,3666,,,2020/08/19,3896,,,2020/08/19,8911,,,2020/08/19,7321,,,2020/08/19,9606
,,,,,,,,,,,,,,,,2020/08/20,9618,,,2020/08/20,6050,,,2020/08/20,8622,,,2020/08/20,8589,,,2020/08/20,7647,,,2020/08/20,4602
,,,,,,,,,,,,,,,,2020/08/21,3610,,,2020/08/21,8099,,,2020/08/21,1159,,,2020/08/21,1722,,,2020/08/21,7005,,,2020/08/21,5659
,,,,,,,,,,,,,,,,2020/08/22,994,,,2020/08/22,5916,,,2020/08/22,2671,,,2020/08/22,2502,,,2020/08/22,9979,,,2020/08/22,2565
,,,,,,,,,,,,,,,,2020/08/23,6311,,,2020/08/23,3130,,,2020/08/23,3548,,,2020/08/23,5242,,,2020/08/23,9402,,,2020/08/23,1158
,,,,,,,,,,,,,,,,2020/08/24,2037,,,2020/08/24,488,,,2020/08/24,5888,,,2020/08/24,5804,,,2020/08/24,5655,,,2020/08/24,8940
,,,,,,,,,,,,,,,,2020/08/25,1540,,,2020/08/25,8555,,,2020/08/25,648,,,2020/08/25,3417,,,2020/08/25,6720,,,2020/08/25,8205
,,,,,,,,,,,,,,,,2020/08/26,5387,,,2020/08/26,5581,,,2020/08/26,6744,,,2020/08/26,8812,,,2020/08/26,8829,,,2020/08/26,9680
,,,,,,,,,,,,,,,,2020/08/27,1284,,,2020/08/27,6021,,,2020/08/27,5162,,,2020/08/27,1292,,,2020/08/27,2444,,,2020/08/27,8980
,,,,,,,,,,,,,,,,2020/08/28,3766,,,2020/08/28,608,,,2020/08/28,6259,,,2020/08/28,2662,,,2020/08/28,7446,,,2020/08/28,5654
,,,,,,,,,,,,,,,,2020/08/29,9602,,,2020/08/29,6388,,,2020/08/29,9661,,,2020/08/29,2788,,,2020/08/29,7229,,,2020/08/29,155
,,,,,,,,,,,,,,,,2020/08/30,48,,,2020/08/30,2347,,,2020/08/30,3381,,,2020/08/30,897,,,2020/08/30,2522,,,2020/08/30,4781
,,,,,,,,,,,,,,,,2020/08/31,3627,,,2020/08/31,7592,,,2020/08/31,4664,,,2020/08/31,8769,,,2020/08/31,211,,,2020/08/31,906
,,,,,,,,,,,,,,,,2020/09/01,8841,,,2020/09/01,6634,,,2020/09/01,7348,,,2020/09/01,7326,,,2020/09/01,3451,,,2020/09/01,5102
,,,,,,,,,,,,,,,,2020/09/02,560,,,2020/09/02,7976,,,2020/09/02,4774,,,2020/09/02,3559,,,2020/09/02,1595,,,2020/09/02,8991
,,,,,,,,,,,,,,,,2020/09/03,5451,,,2020/09/03,3346,,,2020/09/03,3001,,,2020/09/03,144,,,2020/09/03,450,,,2020/09/03,4662
,,,,,,,,,,,,,,,,2020/09/04,6955,,,2020/09/04,627,,,2020/09/04,1184,,,2020/09/04,7084,,,2020/09/04,2035,,,2020/09/04,3222
,,,,,,,,,,,,,,,,2020/09/05,8375,,,2020/09/05,9391,,,2020/09/05,6921,,,2020/09/05,1272,,,2020/09/05,6008,,,2020/09/05,7367
,,,,,,,,,,,,,,,,2020/09/06,4951,,,2020/09/06,1333,,,2020/09/06,8125,,,2020/09/06,7013,,,2020/09/06,9355,,,2020/09/06,7671
,,,,,,,,,,,,,,,,2020/09/07,2192,,,2020/09/07,3804,,,2020/09/07,8976,,,2020/09/07,9706,,,2020/09/07,28,,,2020/09/07,608
,,,,,,,,,,,,,,,,2020/09/08,9050,,,2020/09/08,1840,,,2020/09/08,3929,,,2020/09/08,1918,,,2020/09/08,1135,,,2020/09/08,8721
,,,,,,,,,,,,,,,,2020/09/09,4973,,,2020/09/09,3672,,,2020/09/09,985,,,2020/09/09,7949,,,2020/09/09,2307,,,2020/09/09,4971
,,,,,,,,,,,,,,,,2020/09/10,825,,,2020/09/10,2727,,,2020/09/10,1660,,,2020/09/10,7829,,,2020/09/10,5616,,,2020/09/10,4655
,,,,,,,,,,,,,,,,2020/09/11,8444,,,2020/09/11,2723,,,2020/09/11,1571,,,2020/09/11,1192,,,2020/09/11,2120,,,2020/09/11,724
,,,,,,,,,,,,,,,,2020/09/12,1618,,,2020/09/12,3360,,,2020/09/12,3022,,,2020/09/12,1954,,,2020/09/12,8841,,,2020/09/12,9520
,,,,,,,,,,,,,,,,2020/09/13,8268,,,2020/09/13,1121,,,2020/09/13,3895,,,2020/09/13,7103,,,2020/09/13,4743,,,2020/09/13,9233
,,,,,,,,,,,,,,,,2020/09/14,3840,,,2020/09/14,8657,,,2020/09/14,8636,,,2020/09/14,4100,,,2020/09/14,3822,,,2020/09/14,9096
,,,,,,,,,,,,,,,,2020/09/15,4111,,,2020/09/15,6927,,,2020/09/15,7375,,,2020/09/15,9176,,,2020/09/15,8394,,,2020/09/15,3866
,,,,,,,,,,,,,,,,2020/09/16,2902,,,2020/09/16,38,,,2020/09/16,5584,,,2020/09/16,9109,,,2020/09/16,3625,,,2020/09/16,9286
,,,,,,,,,,,,,,,,2020/09/17,5144,,,2020/09/17,4796,,,2020/09/17,7966,,,2020/09/17,6848,,,2020/09/17,7174,,,2020/09/17,3311
,,,,,,,,,,,,,,,,2020/09/18,6335,,,2020/09/18,7442,,,2020/09/18,5275,,,2020/09/18,8542,,,2020/09/18,5268,,,2020/09/18,413
,,,,,,,,,,,,,,,,2020/09/19,4339,,,2020/09/19,4513,,,2020/09/19,2020,,,2020/09/19,3023,,,2020/09/19,6298,,,2020/09/19,4995
,,,,,,,,,,,,,,,,2020/09/20,2794,,,2020/09/20,1288,,,2020/09/20,8814,,,2020/09/20,4188,,,2020/09/20,4618,,,2020/09/20,9788
,,,,,,,,,,,,,,,,2020/09/21,670,,,2020/09/21,2076,,,2020/09/21,4362,,,2020/09/21,971,,,2020/09/21,1973,,,2020/09/21,1376
,,,,,,,,,,,,,,,,2020/09/22,7552,,,2020/09/22,5457,,,2020/09/22,5516,,,2020/09/22,1689,,,2020/09/22,3945,,,2020/09/22,7690
,,,,,,,,,,,,,,,,2020/09/23,2826,,,2020/09/23,7002,,,2020/09/23,9438,,,2020/09/23,4558,,,2020/09/23,3712,,,2020/09/23,8901
,,,,,,,,,,,,,,,,2020/09/24,3046,,,2020/09/24,5149,,,2020/09/24,9487,,,2020/09/24,881,,,2020/09/24,844,,,2020/09/24,1609
,,,,,,,,,,,,,,,,2020/09/25,2262,,,2020/09/25,8435,,,2020/09/25,2874,,,2020/09/25,3152,,,2020/09/25,383,,,2020/09/25,4384
,,,,,,,,,,,,,,,,2020/09/26,1005,,,2020/09/26,6848,,,2020/09/26,1535,,,2020/09/26,7479,,,2020/09/26,2879,,,2020/09/26,5569
,,,,,,,,,,,,,,,,2020/09/27,9383,,,2020/09/27,3134,,,2020/09/27,4668,,,2020/09/27,8895,,,2020/09/27,5170,,,2020/09/27,5681
,,,,,,,,,,,,,,,,2020/09/28,1894,,,2020/09/28,1822,,,2020/09/28,2892,,,2020/09/28,9159,,,2020/09/28,6617,,,2020/09/28,5535
,,,,,,,,,,,,,,,,2020/09/29,6055,,,2020/09/29,8109,,,2020/09/29,2550,,,2020/09/29,2631,,,2020/09/29,6677,,,2020/09/29,8389
,,,,,,,,,,,,,,,,2020/09/30,7611,,,2020/09/30,1618,,,2020/09/30,1291,,,2020/09/30,6264,,,2020/09/30,2451,,,2020/09/30,7497
,,,,,,,,,,,,,,,,2020/10/01,3162,,,2020/10/01,1896,,,2020/10/01,5541,,,2020/10/01,1108,,,2020/10/01,7613,,,2020/10/01,9018
,,,,,,,,,,,,,,,,2020/10/02,1319,,,2020/10/02,1259,,,2020/10/02,7700,,,2020/10/02,2674,,,2020/10/02,8178,,,2020/10/02,6791
,,,,,,,,,,,,,,,,2020/10/03,4009,,,2020/10/03,923,,,2020/10/03,2824,,,2020/10/03,7912,,,2020/10/03,5869,,,2020/10/03,9982
,,,,,,,,,,,,,,,,2020/10/04,509,,,2020/10/04,4638,,,2020/10/04,5566,,,2020/10/04,9574,,,2020/10/04,8444,,,2020/10/04,5523
,,,,,,,,,,,,,,,,2020/10/05,585,,,2020/10/05,7730,,,2020/10/05,57,,,2020/10/05,6098,,,2020/10/05,989,,,2020/10/05,4206
,,,,,,,,,,,,,,,,2020/10/06,5797,,,2020/10/06,862,,,2020/10/06,1175,,,2020/10/06,394,,,2020/10/06,778,,,2020/10/06,2185
,,,,,,,,,,,,,,,,2020/10/07,5821,,,2020/10/07,6169,,,2020/10/07,6738,,,2020/10/07,7125,,,2020/10/07,2108,,,2020/10/07,2418
,,,,,,,,,,,,,,,,2020/10/08,6981,,,2020/10/08,599,,,2020/10/08,7870,,,2020/10/08,3862,,,2020/10/08,4052,,,2020/10/08,2187
,,,,,,,,,,,,,,,,2020/10/09,6492,,,2020/10/09,8359,,,2020/10/09,4615,,,2020/10/09,6783,,,2020/10/09,639,,,2020/10/09,6143
,,,,,,,,,,,,,,,,2020/10/10,9527,,,2020/10/10,9185,,,2020/10/10,2499,,,2020/10/10,339,,,2020/10/10,9892,,,2020/10/10,6803
,,,,,,,,,,,,,,,,2020/10/11,7946,,,2020/10/11,1111,,,2020/10/11,4400,,,2020/10/11,9609,,,2020/10/11,5597,,,2020/10/11,9162
,,,,,,,,,,,,,,,,2020/10/12,4268,,,2020/10/12,1355,,,2020/10/12,2220,,,2020/10/12,6288,,,2020/10/12,8522,,,2020/10/12,2152
,,,,,,,,,,,,,,,,2020/10/13,8138,,,2020/10/13,8169,,,2020/10/13,622,,,2020/10/13,2434,,,2020/10/13,9351,,,2020/10/13,8435
,,,,,,,,,,,,,,,,2020/10/14,5163,,,2020/10/14,9052,,,2020/10/14,300,,,2020/10/14,5915,,,2020/10/14,6731,,,2020/10/14,8958
,,,,,,,,,,,,,,,,2020/10/15,3832,,,2020/10/15,3280,,,2020/10/15,4441,,,2020/10/15,3857,,,2020/10/15,8564,,,2020/10/15,6499
,,,,,,,,,,,,,,,,2020/10/16,2325,,,2020/10/16,9874,,,2020/10/16,7315,,,2020/10/16,6246,,,2020/10/16,4913,,,2020/10/16,2754
,,,,,,,,,,,,,,,,2020/10/17,4808,,,2020/10/17,7192,,,2020/10/17,804,,,2020/10/17,3760,,,2020/10/17,5120,,,2020/10/17,5338
,,,,,,,,,,,,,,,,2020/10/18,3104,,,2020/10/18,8341,,,2020/10/18,7190,,,2020/10/18,7460,,,2020/10/18,3827,,,2020/10/18,4614
,,,,,,,,,,,,,,,,2020/10/19,7083,,,2020/10/19,9419,,,2020/10/19,2903,,,2020/10/19,8537,,,2020/10/19,9698,,,2020/10/19,1757
,,,,,,,,,,,,,,,,2020/10/20,3486,,,2020/10/20,2353,,,2020/10/20,9762,,,2020/10/20,7157,,,2020/10/20,296,,,2020/10/20,2146
,,,,,,,,,,,,,,,,2020/10/21,9539,,,2020/10/21,491,,,2020/10/21,5073,,,2020/10/21,2285,,,2020/10/21,5140,,,2020/10/21,8854
,,,,,,,,,,,,,,,,2020/10/22,1096,,,2020/10/22,3038,,,2020/10/22,5444,,,2020/10/22,166,,,2020/10/22,8953,,,2020/10/22,597
,,,,,,,,,,,,,,,,2020/10/23,7373,,,2020/10/23,4507,,,2020/10/23,9062,,,2020/10/23,3205,,,2020/10/23,9926,,,2020/10/23,8701
,,,,,,,,,,,,,,,,2020/10/24,3733,,,2020/10/24,5312,,,2020/10/24,7157,,,2020/10/24,5078,,,2020/10/24,6861,,,2020/10/24,5060
,,,,,,,,,,,,,,,,2020/10/25,5749,,,2020/10/25,5601,,,2020/10/25,4299,,,2020/10/25,9997,,,2020/10/25,8508,,,2020/10/25,4293
,,,,,,,,,,,,,,,,2020/10/26,1114,,,2020/10/26,5996,,,2020/10/26,9385,,,2020/10/26,1724,,,2020/10/26,3046,,,2020/10/26,3242
,,,,,,,,,,,,,,,,2020/10/27,1044,,,2020/10/27,4408,,,2020/10/27,9983,,,2020/10/27,6653,,,2020/10/27,5793,,,2020/10/27,7392
,,,,,,,,,,,,,,,,2020/10/28,497,,,2020/10/28,5416,,,2020/10/28,2020,,,2020/10/28,749,,,2020/10/28,9996,,,2020/10/28,6968
,,,,,,,,,,,,,,,,2020/10/29,2967,,,2020/10/29,1257,,,2020/10/29,2162,,,2020/10/29,7084,,,2020/10/29,178,,,2020/10/29,5533
,,,,,,,,,,,,,,,,2020/10/30,3488,,,2020/10/30,7760,,,2020/10/30,3929,,,2020/10/30,9086,,,2020/10/30,7065,,,2020/10/30,8651
,,,,,,,,,,,,,,,,2020/10/31,790,,,2020/10/31,4430,,,2020/10/31,8735,,,2020/10/31,2507,,,2020/10/31,7843,,,2020/10/31,9463
total,channeltotal,2698907,1,1847291,1,3151429,1,2210736,1,3086440,1,2658276,1,2019/10,32031,2020/08/01,7358,2019/10,29308,2020/08/01,8795,2019/10,78068,2020/08/01,6013,2019/10,59814,2020/08/01,8812,2019/10,85364,2020/08/01,1005,2019/10,58730,2020/08/01,7379
,,,,,,,,,,,,,,2019/11,8283,2020/08/02,6360,2019/11,39580,2020/08/02,904,2019/11,29716,2020/08/02,2118,2019/11,98351,2020/08/02,9210,2019/11,77796,2020/08/02,4113,2019/11,64927,2020/08/02,5966
,,,,,,,,,,,,,,2019/12,63683,2020/08/03,518,2019/12,65728,2020/08/03,8217,2019/12,79639,2020/08/03,6960,2019/12,19003,2020/08/03,6515,2019/12,27753,2020/08/03,8881,2019/12,11444,2020/08/03,4171
,,,,,,,,,,,,,,2020/01,98953,2020/08/04,3639,2020/01,87864,2020/08/04,4469,2020/01,98197,2020/08/04,3688,2020/01,79572,2020/08/04,9124,2020/01,59034,2020/08/04,1278,2020/01,34263,2020/08/04,3966
,,,,,,,,,,,,,,2020/02,37195,2020/08/05,1155,2020/02,27182,2020/08/05,5157,2020/02,69288,2020/08/05,912,2020/02,79378,2020/08/05,3260,2020/02,96458,2020/08/05,6092,2020/02,6768,2020/08/05,774
,,,,,,,,,,,,,,2020/03,87171,2020/08/06,2353,2020/03,94981,2020/08/06,4862,2020/03,65953,2020/08/06,734,2020/03,83087,2020/08/06,6503,2020/03,99283,2020/08/06,7075,2020/03,52587,2020/08/06,3849
,,,,,,,,,,,,,,2020/04,16532,2020/08/07,9014,2020/04,96946,2020/08/07,3662,2020/04,79108,2020/08/07,5245,2020/04,62461,2020/08/07,4546,2020/04,97151,2020/08/07,317,2020/04,35895,2020/08/07,7364
,,,,,,,,,,,,,,2020/05,95170,2020/08/08,4981,2020/05,15820,2020/08/08,1672,2020/05,47948,2020/08/08,806,2020/05,81958,2020/08/08,35,2020/05,25081,2020/08/08,47,2020/05,64344,2020/08/08,4737
,,,,,,,,,,,,,,2020/06,21290,2020/08/09,2932,2020/06,25538,2020/08/09,2782,2020/06,10296,2020/08/09,5529,2020/06,32696,2020/08/09,4669,2020/06,86,2020/08/09,3964,2020/06,60474,2020/08/09,6969
,,,,,,,,,,,,,,2020/07,22348,2020/08/10,1933,2020/07,41419,2020/08/10,5332,2020/07,68494,2020/08/10,3593,2020/07,59814,2020/08/10,6099,2020/07,78061,2020/08/10,1599,2020/07,27788,2020/08/10,707
,,,,,,,,,,,,,,2020/08,142308,2020/08/11,1029,2020/08,164619,2020/08/11,5816,2020/08,138248,2020/08/11,7179,2020/08,150303,2020/08/11,4692,2020/08,156131,2020/08/11,9595,2020/08,125416,2020/08/11,5503
